func_idx,exact_mean,exact_var,direct_mean,pcg_mean,direct_var,pcg_var,direct_z,pcg_z,ks_stat,ks_pvalue,scale,sv_sigma,rtol
0,-1.1325819031488973,1.4957070124467213,-1.1372582742949184,-1.1058566448122265,1.5492755532429214,1.4865778845427533,-0.1710018091442829,0.9772679247898108,0.0275,0.43609338214006377,small,0.1,1e-08
1,-0.1605028711668528,0.13810489130406933,-0.1624215945232989,-0.15309299316637218,0.14372814566990846,0.13480698328358615,-0.23089941353551396,0.8917056640461762,0.032,0.2574754523872385,small,0.1,1e-08
2,0.03188323639910106,1.036957660435588,0.01378619720324905,0.0069827007751299295,1.023546167544909,1.0742135035512421,-0.7947710013652046,-1.0935614062729977,0.027,0.4596372544037147,small,0.1,1e-08
3,-0.17316567044788184,0.6926739644694562,-0.1342682774719334,-0.211594881628779,0.7147452302246686,0.6785107791654954,2.0901192268173934,-2.064961865446476,0.0565,0.003368945209908168,small,0.1,1e-08
0,-1.1230421222294553,1.6147596692156387,-1.1314619587122638,-1.097563780914349,1.6633223723030972,1.604749670673673,-0.2963225540819675,0.8966690965649358,0.026,0.5085995252205004,small,0.3,1e-08
1,-0.1644739624844671,0.12367019287028816,-0.16482737827683502,-0.15587734690210261,0.12851154853922617,0.12250215546197743,-0.044943659420165476,1.0932260845255626,0.029,0.36968362182350656,small,0.3,1e-08
2,0.01573299942005512,0.9898375130783736,0.004883007803709819,-0.013667745241692274,0.9790254240890093,1.022644794896819,-0.4877108822290424,-1.321573658690216,0.0365,0.13923199690622226,small,0.3,1e-08
3,-0.19667942460727494,0.5719048636133144,-0.1633831017366586,-0.22818691700002358,0.5891364478602407,0.5604167137887943,1.9690165979723944,-1.8632320368493178,0.0535,0.00652148041369766,small,0.3,1e-08
0,-26.100045589077705,1.050508274763153,-26.072688210261603,-26.088999810427495,1.0887000951894006,1.0187462160512955,0.5338321688886907,0.21553936192291417,0.065,0.3670864569817871,taiwan,0.1,1e-08
1,-1.0237056019152821,0.3456198922944663,-1.0087681138592333,-1.05908202302022,0.31534873731988333,0.3025642315447391,0.5081690389889734,-1.203495651230711,0.055,0.5812138636684575,taiwan,0.1,1e-08
2,-0.18768838710398514,1.0304315652499063,-0.18728545405719907,-0.2674799103173611,1.0186893027007147,0.990084453051861,0.007938771582601376,-1.5720891648660071,0.0525,0.6405071979325999,taiwan,0.1,1e-08
3,-0.1981433992886457,0.5877781039182244,-0.1662334876352373,-0.16961869992826265,0.5322842501785578,0.6639142647582772,0.8324322469690579,0.7441223855643061,0.0475,0.7582774273046589,taiwan,0.1,1e-08
4,0.19895506967067178,0.5475060636697867,0.21006255155300618,0.1967038117480064,0.6058623056529214,0.5460369233011065,0.30022796497436866,-0.06085002810845903,0.035,0.9674055629008819,taiwan,0.1,1e-08
5,-0.053950939826295785,0.5450924689686447,-0.03858656321515115,0.017062464701850404,0.5118232270168401,0.48777955096671594,0.41620744912609836,1.9236906709889305,0.0575,0.5234101030810641,taiwan,0.1,1e-08
0,-26.195326484947014,1.0238192743133951,-26.164824634904562,-26.185032049515474,1.0615851969703987,0.9755870338749943,0.6028989487878434,0.20347960177502653,0.0675,0.32218506015364723,taiwan,0.3,1e-08
1,-0.9442551581444805,0.4210032115090344,-0.9235168774287615,-0.9920589895087503,0.3836636011678588,0.3659166436786778,0.6392342556226538,-1.4734995141081317,0.0775,0.18096072488295206,taiwan,0.3,1e-08
2,-0.11210549145053368,0.9740519491195017,-0.10149480594356296,-0.18534075272958453,0.9916745332677385,0.9785435030926911,0.21502174317579492,-1.4840863516133007,0.05,0.7000433606572674,taiwan,0.3,1e-08
3,-0.23013104824874908,0.6722731917606267,-0.20709130297918146,-0.2132151592336246,0.604046841700639,0.7333157805407152,0.5619980028103984,0.4126215689901471,0.045,0.813414043347709,taiwan,0.3,1e-08
4,0.22272647339595883,0.6063602274584403,0.23134351547640175,0.23946206699479183,0.6528088699159886,0.5941424890551362,0.22132111823892492,0.42983894648632487,0.035,0.9674055629008819,taiwan,0.3,1e-08
5,-0.1377281063730886,0.6251575817619284,-0.11865048125991841,-0.07109195596490844,0.6117180037975213,0.5522220899213148,0.48256915019214003,1.6855636004898704,0.06,0.4680435421303692,taiwan,0.3,1e-08
0,-1.1230421222294553,1.6147596692156387,-1.1314619587122638,-1.0975374183908981,1.6633223723030972,1.6049820668903247,-0.2963225540819675,0.8975968830245619,0.0255,0.5339072834011876,small,0.3,1e-06
1,-0.1644739624844671,0.12367019287028816,-0.16482737827683502,-0.15587093190240045,0.12851154853922617,0.12251596909257007,-0.044943659420165476,1.0940418759192148,0.029,0.36968362182350656,small,0.3,1e-06
2,0.01573299942005512,0.9898375130783736,0.004883007803709819,-0.013737897465005684,0.9790254240890093,1.0230713594598495,-0.4877108822290424,-1.3247270254330041,0.0365,0.13923199690622226,small,0.3,1e-06
3,-0.19667942460727494,0.5719048636133144,-0.1633831017366586,-0.2281362349591013,0.5891364478602407,0.5605344622638483,1.9690165979723944,-1.8602348956880284,0.0535,0.00652148041369766,small,0.3,1e-06
