scale,sv_sigma,rtol,iters_mean,iters_median,iters_max,rel_residual_mean,rel_residual_max,direct_solve_ms_mean,pcg_solve_ms_mean,direct_setup_s,pcg_setup_precond_s,Tn
small,0.1,1e-08,7.048,7.0,8,7.046947245313755e-09,9.998774269035693e-09,0.002280596978380345,0.17875062381790485,0.0007825419888831675,0.0006219159986358136,120
small,0.3,1e-08,16.1045,16.0,17,7.5989220813367e-09,9.998905810144795e-09,0.002308744442416355,0.407452422863571,0.0006730830064043403,0.0005740410124417394,120
taiwan,0.1,1e-08,13.0575,13.0,14,8.018466634712447e-09,9.985922477863655e-09,0.026892187597695738,1.05657656036783,0.005003083002520725,0.004555332998279482,2400
taiwan,0.3,1e-08,72.4375,73.0,75,8.924297028961135e-09,9.998958162901733e-09,0.027575946878641844,5.801340846373932,0.004975208023097366,0.004527916986262426,2400
small,0.3,1e-06,10.664,11.0,11,6.876640269955244e-07,9.992978134739455e-07,0.002283195426571183,0.263279690669151,0.0007159160159062594,0.0006059170118533075,120
small,0.3,1e-10,21.777,22.0,23,7.319330151728862e-11,9.998525485372861e-11,0.002292775214300491,0.5327431590849301,0.0007131669844966382,0.0005730419943574816,120
taiwan,0.3,1e-06,42.875,42.0,45,8.547437410976436e-07,9.988680121489502e-07,0.027188202511752024,3.427940421970561,0.005065999983344227,0.004497666988754645,2400
taiwan,0.3,1e-10,100.5025,100.0,104,8.998251380998205e-11,9.999698847445955e-11,0.027068850613432005,8.065699286744348,0.004944207990774885,0.004470957996090874,2400
