name,M,sample_mean_l2_err,sample_mean_linf_err,sample_mean_mc_se,z_max_abs,var_relative_rmse,extras,scale,sv_sigma,rtol
direct,2000,0.12149758400392752,0.052824842738057674,0.20798228813631212,2.7579930456852964,0.0315923101839692,{},small,0.1,1e-08
pcg,2000,0.11061806760098004,0.07680216029509238,0.20798228813631212,3.3554246866265003,0.030887612005309203,{},small,0.1,1e-08
direct,2000,0.10404998612799742,0.042050533179564906,0.2053344051037071,2.887424884659421,0.0310574706550943,{},small,0.3,1e-08
pcg,2000,0.09567518886264599,0.059332682360733774,0.2053344051037071,3.4793289633111524,0.03148668218379484,{},small,0.3,1e-08
direct,2000,0.10404998612799742,0.042050533179564906,0.2053344051037071,2.887424884659421,0.0310574706550943,{},small,0.3,1e-06
pcg,2000,0.0956996295079986,0.05931217455814933,0.2053344051037071,3.4781263648668057,0.03143929777310864,{},small,0.3,1e-06
direct,2000,0.10404998612799742,0.042050533179564906,0.2053344051037071,2.887424884659421,0.0310574706550943,{},small,0.3,1e-10
pcg,2000,0.09567592298397364,0.059334088026099685,0.2053344051037071,3.4794113929608117,0.031485954106473306,{},small,0.3,1e-10
