n,T,p,Tn,sv_sigma,sv_rho,lam,target_radius,seed,path,status,phase1_assembly_time,phase2_factor_time,phase3_solve_time,total_time,iters,hit_maxiter,relative_residual,H_B_nnz,Kbar_nnz_estimate,Kbar_csr_bytes_estimate,M_m_nnz,L_factor_nnz,skip_direct
5,480,2,2400,0.3,0.95,10000.0,0.9,7,pcg_time_avg_chol_explicit_avgK,ok,0.003696375002618879,0.0006467500061262399,0.01089854200836271,0.01524166701710783,136,0,9.76225087545071e-09,26325,60000,960000.0,795,32238,0
5,480,2,2400,0.3,0.95,10000.0,0.9,7,pcg_time_avg_chol_frozen_amortized_50,derived_best_case,7.392750005237758e-05,1.2935000122524797e-05,0.01089854200836271,0.010985404508537612,136,0,9.76225087545071e-09,26325,60000,960000.0,795,32238,0
5,480,2,2400,0.5,0.95,10000.0,0.9,0,direct_cholmod,ok,0.0036637919838540256,0.0006395420059561729,2.9207993065938354e-05,0.004332541982876137,0,0,2.9188555366415467e-12,26325,60000,960000.0,795,32238,0
5,480,2,2400,0.5,0.95,10000.0,0.9,0,direct_splu,ok,0.0035682920133695006,0.0018892910156864673,0.00010066700633615255,0.0055582500353921205,0,0,2.5596621640756563e-12,26325,60000,960000.0,795,81852,0
5,480,2,2400,0.5,0.95,10000.0,0.9,0,pcg_time_avg_chol_explicit_avgK,ok,0.0036645839863922447,0.0006136669835541397,0.06143304199213162,0.065711292962078,781,0,9.671126772041113e-09,26325,60000,960000.0,795,32238,0
5,480,2,2400,0.5,0.95,10000.0,0.9,0,pcg_time_avg_chol_frozen_amortized_50,derived_best_case,7.329167972784489e-05,1.2273339671082794e-05,0.06143304199213162,0.06151860701153055,781,0,9.671126772041113e-09,26325,60000,960000.0,795,32238,0
5,480,2,2400,0.5,0.95,10000.0,0.9,1,direct_cholmod,ok,0.003682541020680219,0.0006386250024661422,2.970799687318504e-05,0.004350874020019546,0,0,5.105965561925442e-12,26325,60000,960000.0,795,32238,0
5,480,2,2400,0.5,0.95,10000.0,0.9,1,direct_splu,ok,0.0036994580004829913,0.0018355000065639615,9.912499808706343e-05,0.005634083005134016,0,0,4.612129915616267e-12,26325,60000,960000.0,795,81539,0
5,480,2,2400,0.5,0.95,10000.0,0.9,1,pcg_time_avg_chol_explicit_avgK,ok,0.00373858300736174,0.0006174580194056034,0.04539954202482477,0.04975558305159211,572,0,8.599226979452907e-09,26325,60000,960000.0,795,32238,0
5,480,2,2400,0.5,0.95,10000.0,0.9,1,pcg_time_avg_chol_frozen_amortized_50,derived_best_case,7.47716601472348e-05,1.2349160388112068e-05,0.04539954202482477,0.04548666284536011,572,0,8.599226979452907e-09,26325,60000,960000.0,795,32238,0
5,480,2,2400,0.5,0.95,10000.0,0.9,7,direct_cholmod,ok,0.0036632500123232603,0.0006231669976841658,2.883299021050334e-05,0.0043152500002179295,0,0,7.902818921504182e-12,26325,60000,960000.0,795,32238,0
5,480,2,2400,0.5,0.95,10000.0,0.9,7,direct_splu,ok,0.0036818340013269335,0.0019021659973077476,0.00010299999848939478,0.005686999997124076,0,0,7.666683085936147e-12,26325,60000,960000.0,795,84335,0
5,480,2,2400,0.5,0.95,10000.0,0.9,7,pcg_time_avg_chol_explicit_avgK,ok,0.003731750010047108,0.0006151669949758798,0.059803957992699,0.06415087499772198,767,0,9.231358091216608e-09,26325,60000,960000.0,795,32238,0
5,480,2,2400,0.5,0.95,10000.0,0.9,7,pcg_time_avg_chol_frozen_amortized_50,derived_best_case,7.463500020094216e-05,1.2303339899517595e-05,0.059803957992699,0.059890896332799454,767,0,9.231358091216608e-09,26325,60000,960000.0,795,32238,0
5,480,12,2400,0.1,0.95,10000.0,0.9,0,direct_cholmod,ok,0.01343412499409169,0.004115042014745995,0.00010704199667088687,0.017656209005508572,0,0,5.043506136087257e-13,144450,300000,4800000.0,795,160975,0
5,480,12,2400,0.1,0.95,10000.0,0.9,0,direct_splu,ok,0.013259291008580476,0.00756729202112183,0.0001832919951993972,0.021009875024901703,0,0,5.152035009432464e-13,144450,300000,4800000.0,795,314545,0
5,480,12,2400,0.1,0.95,10000.0,0.9,0,pcg_time_avg_chol_explicit_avgK,ok,0.013328207976883277,0.004007416981039569,0.005565875006141141,0.022901499964063987,22,0,7.808495657270669e-09,144450,300000,4800000.0,795,160975,0
5,480,12,2400,0.1,0.95,10000.0,0.9,0,pcg_time_avg_chol_frozen_amortized_50,derived_best_case,0.0002665641595376655,8.014833962079138e-05,0.005565875006141141,0.005912587505299598,22,0,7.808495657270669e-09,144450,300000,4800000.0,795,160975,0
5,480,12,2400,0.1,0.95,10000.0,0.9,1,direct_cholmod,ok,0.013424750010017306,0.004041541978949681,0.00010499998461455107,0.017571291973581538,0,0,4.2186186195133186e-13,144450,300000,4800000.0,795,160975,0
5,480,12,2400,0.1,0.95,10000.0,0.9,1,direct_splu,ok,0.013467666984070092,0.00746370799606666,0.00016791699454188347,0.021099291974678636,0,0,4.469650452300266e-13,144450,300000,4800000.0,795,314545,0
5,480,12,2400,0.1,0.95,10000.0,0.9,1,pcg_time_avg_chol_explicit_avgK,ok,0.013405167002929375,0.0040941250044852495,0.005013708025217056,0.02251300003263168,20,0,6.868742941133645e-09,144450,300000,4800000.0,795,160975,0
5,480,12,2400,0.1,0.95,10000.0,0.9,1,pcg_time_avg_chol_frozen_amortized_50,derived_best_case,0.00026810334005858747,8.188250008970498e-05,0.005013708025217056,0.005363693865365349,20,0,6.868742941133645e-09,144450,300000,4800000.0,795,160975,0
5,480,12,2400,0.1,0.95,10000.0,0.9,7,direct_cholmod,ok,0.013511458993889391,0.00398979100282304,0.00010562498937360942,0.01760687498608604,0,0,4.121883124863636e-13,144450,300000,4800000.0,795,160975,0
5,480,12,2400,0.1,0.95,10000.0,0.9,7,direct_splu,ok,0.013226874987594783,0.007631291984580457,0.00016500000492669642,0.021023166977101937,0,0,4.1855600092201007e-13,144450,300000,4800000.0,795,314545,0
5,480,12,2400,0.1,0.95,10000.0,0.9,7,pcg_time_avg_chol_explicit_avgK,ok,0.013214249978773296,0.004188874998362735,0.005842917016707361,0.02324604199384339,24,0,6.205958136076463e-09,144450,300000,4800000.0,795,160975,0
5,480,12,2400,0.1,0.95,10000.0,0.9,7,pcg_time_avg_chol_frozen_amortized_50,derived_best_case,0.0002642849995754659,8.37774999672547e-05,0.005842917016707361,0.006190979516250081,24,0,6.205958136076463e-09,144450,300000,4800000.0,795,160975,0
5,480,12,2400,0.3,0.95,10000.0,0.9,0,direct_cholmod,ok,0.013212833000579849,0.004022040986455977,9.858401608653367e-05,0.01733345800312236,0,0,7.512839022417217e-13,144450,300000,4800000.0,795,160975,0
5,480,12,2400,0.3,0.95,10000.0,0.9,0,direct_splu,ok,0.01350216701393947,0.007581500016385689,0.00016108399722725153,0.02124475102755241,0,0,7.645560909770749e-13,144450,300000,4800000.0,795,319955,0
5,480,12,2400,0.3,0.95,10000.0,0.9,0,pcg_time_avg_chol_explicit_avgK,ok,0.013225374976173043,0.004062958003487438,0.030836790974717587,0.04812512395437807,125,0,9.390514596550793e-09,144450,300000,4800000.0,795,160975,0
5,480,12,2400,0.3,0.95,10000.0,0.9,0,pcg_time_avg_chol_frozen_amortized_50,derived_best_case,0.0002645074995234609,8.125916006974876e-05,0.030836790974717587,0.031182557634310798,125,0,9.390514596550793e-09,144450,300000,4800000.0,795,160975,0
5,480,12,2400,0.3,0.95,10000.0,0.9,1,direct_cholmod,ok,0.013250250020064414,0.004110709007363766,0.00010391700197942555,0.017464876029407606,0,0,5.805132510963177e-13,144450,300000,4800000.0,795,160975,0
5,480,12,2400,0.3,0.95,10000.0,0.9,1,direct_splu,ok,0.013554291013861075,0.007515165983932093,0.0001670829951763153,0.021236539992969483,0,0,6.630201968808831e-13,144450,300000,4800000.0,795,321850,0
5,480,12,2400,0.3,0.95,10000.0,0.9,1,pcg_time_avg_chol_explicit_avgK,ok,0.013254167017294094,0.004186042002402246,0.023847333999583498,0.04128754301927984,98,0,8.4893779838803e-09,144450,300000,4800000.0,795,160975,0
5,480,12,2400,0.3,0.95,10000.0,0.9,1,pcg_time_avg_chol_frozen_amortized_50,derived_best_case,0.0002650833403458819,8.372084004804492e-05,0.023847333999583498,0.024196138179977424,98,0,8.4893779838803e-09,144450,300000,4800000.0,795,160975,0
5,480,12,2400,0.3,0.95,10000.0,0.9,7,direct_cholmod,ok,0.013296667020767927,0.004034957994008437,9.587500244379044e-05,0.017427500017220154,0,0,6.708364603282598e-13,144450,300000,4800000.0,795,160975,0
5,480,12,2400,0.3,0.95,10000.0,0.9,7,direct_splu,ok,0.013506375020369887,0.00900804201955907,0.00019787499331869185,0.02271229203324765,0,0,6.928688206068312e-13,144450,300000,4800000.0,795,340670,0
5,480,12,2400,0.3,0.95,10000.0,0.9,7,pcg_time_avg_chol_explicit_avgK,ok,0.014303916017524898,0.004371499991975725,0.03948541599675082,0.05816083200625144,158,0,9.561295511272497e-09,144450,300000,4800000.0,795,160975,0
5,480,12,2400,0.3,0.95,10000.0,0.9,7,pcg_time_avg_chol_frozen_amortized_50,derived_best_case,0.00028607832035049797,8.742999983951449e-05,0.03948541599675082,0.03985892431694083,158,0,9.561295511272497e-09,144450,300000,4800000.0,795,160975,0
5,480,12,2400,0.5,0.95,10000.0,0.9,0,direct_cholmod,ok,0.013806958013447002,0.0040329580078832805,0.00010587499127723277,0.017945791012607515,0,0,1.9967258290303468e-12,144450,300000,4800000.0,795,160975,0
5,480,12,2400,0.5,0.95,10000.0,0.9,0,direct_splu,ok,0.014297375018941239,0.010291874990798533,0.0002233749837614596,0.02481262499350123,0,0,2.9879318794179406e-12,144450,300000,4800000.0,795,407060,0
5,480,12,2400,0.5,0.95,10000.0,0.9,0,pcg_time_avg_chol_explicit_avgK,ok,0.013176791981095448,0.004507042001932859,0.1592245830106549,0.1769084169936832,653,0,8.500207852645525e-09,144450,300000,4800000.0,795,160975,0
5,480,12,2400,0.5,0.95,10000.0,0.9,0,pcg_time_avg_chol_frozen_amortized_50,derived_best_case,0.00026353583962190896,9.01408400386572e-05,0.1592245830106549,0.15957825969031547,653,0,8.500207852645525e-09,144450,300000,4800000.0,795,160975,0
5,480,12,2400,0.5,0.95,10000.0,0.9,1,direct_cholmod,ok,0.013101874996209517,0.003996874991571531,0.00011116699897684157,0.01720991698675789,0,0,1.3274307026628359e-12,144450,300000,4800000.0,795,160975,0
