n,T,p,Tn,sv_sigma,sv_rho,lam,target_radius,seed,path,status,phase1_assembly_time,phase2_factor_time,phase3_solve_time,total_time,iters,hit_maxiter,relative_residual,H_B_nnz,Kbar_nnz_estimate,Kbar_csr_bytes_estimate,M_m_nnz,L_factor_nnz,skip_direct
10,480,12,4800,0.3,0.95,10000.0,0.9,0,pcg_time_avg_chol,ok,0.1950988749958924,0.027388624999730382,0.1366362909975578,0.3591237909931806,149,0,8.944232522046016e-09,573000,1200000,19200000.0,795,641500,0
10,480,12,4800,0.3,0.95,10000.0,0.9,0,pcg_time_avg_chol_frozen_amortized_50,derived_best_case,0.003901977499917848,0.0005477724999946076,0.1366362909975578,0.14108604099747027,149,0,8.944232522046016e-09,573000,1200000,19200000.0,795,641500,0
10,1920,2,19200,0.3,0.95,10000.0,0.9,0,direct_cholmod,ok,0.13035858399962308,0.011190750003152061,0.0002999579955940135,0.14184929199836915,0,0,4.705298469518126e-12,402900,960000,15360000.0,3195,496968,0
10,1920,2,19200,0.3,0.95,10000.0,0.9,0,direct_splu,ok,0.1324999169955845,0.02098404199932702,0.000894292003067676,0.1543782509979792,0,0,4.701235541721955e-12,402900,960000,15360000.0,3195,1255007,0
10,1920,2,19200,0.3,0.95,10000.0,0.9,0,pcg_time_avg_chol,ok,0.1317298750000191,0.01086304199998267,0.22974437499942724,0.372337291999429,253,0,8.798270404217048e-09,402900,960000,15360000.0,3195,496968,0
10,1920,2,19200,0.3,0.95,10000.0,0.9,0,pcg_time_avg_chol_frozen_amortized_50,derived_best_case,0.002634597500000382,0.0002172608399996534,0.22974437499942724,0.23259623333942728,253,0,8.798270404217048e-09,402900,960000,15360000.0,3195,496968,0
10,1920,12,19200,0.3,0.95,10000.0,0.9,0,direct_cholmod,ok,0.7990598749966011,0.10411745800229255,0.0015428330007125624,0.9047201659996063,0,0,8.471277724657881e-13,2315400,4800000,76800000.0,3195,2592700,0
10,1920,12,19200,0.3,0.95,10000.0,0.9,0,direct_splu,ok,0.8140648749977117,0.1439719999980298,0.003015499998582527,0.961052374994324,0,0,9.533399991144592e-13,2315400,4800000,76800000.0,3195,5747310,0
10,1920,12,19200,0.3,0.95,10000.0,0.9,0,pcg_time_avg_chol,ok,0.8035138749983162,0.1062631250024424,1.054659500005073,1.9644365000058315,258,0,9.00634060873499e-09,2315400,4800000,76800000.0,3195,2592700,0
10,1920,12,19200,0.3,0.95,10000.0,0.9,0,pcg_time_avg_chol_frozen_amortized_50,derived_best_case,0.016070277499966323,0.002125262500048848,1.054659500005073,1.072855040005088,258,0,9.00634060873499e-09,2315400,4800000,76800000.0,3195,2592700,0
