n,T,p,Tn,sv_sigma,sv_rho,lam,target_radius,seed,path,status,phase1_assembly_time,phase2_factor_time,phase3_solve_time,total_time,iters,hit_maxiter,relative_residual,L_factor_nnz,bandwidth_u,banded_ab_bytes,banded_factor_bytes,H_B_nnz,Kbar_nnz_estimate,Kbar_csr_bytes_estimate,M_m_nnz,skip_direct,banded_total_bytes_estimate,skip_banded
5,480,2,2400,0.1,0.95,10000.0,0.9,0,pcg_time_avg_chol_explicit_avgK,ok,0.004036833008285612,0.0006116250006016344,0.0019002909830305725,0.006548748991917819,24,0,9.008911333923155e-09,32238,-1,-1,-1,26325,60000,960000.0,795,0,576000,0
5,480,2,2400,0.1,0.95,10000.0,0.9,0,pcg_banded_time_avg_precision_chol,ok,0.0034680419776123017,0.00022441698820330203,0.0032118750095833093,0.006904333975398913,24,0,9.00887174231653e-09,-1,20,403200,403200,26325,60000,960000.0,795,0,576000,0
5,480,2,2400,0.1,0.95,10000.0,0.9,1,direct_cholmod,ok,0.0037820419820491225,0.0008119580161292106,3.620798815973103e-05,0.004630207986338064,0,0,1.9039168325875452e-12,32238,-1,-1,-1,26325,60000,960000.0,795,0,576000,0
5,480,2,2400,0.1,0.95,10000.0,0.9,1,pcg_time_avg_chol_explicit_avgK,ok,0.0037363750161603093,0.0006190419953782111,0.0017819580098148435,0.006137375021353364,22,0,4.347241677845349e-09,32238,-1,-1,-1,26325,60000,960000.0,795,0,576000,0
5,480,2,2400,0.1,0.95,10000.0,0.9,1,pcg_banded_time_avg_precision_chol,ok,0.0035801669873762876,0.00028208299772813916,0.0029291660175658762,0.006791416002670303,22,0,4.347251012623333e-09,-1,20,403200,403200,26325,60000,960000.0,795,0,576000,0
5,480,2,2400,0.1,0.95,10000.0,0.9,7,direct_cholmod,ok,0.004213291016640142,0.0006477499846369028,3.170798299834132e-05,0.004892748984275386,0,0,6.370693123689746e-13,32238,-1,-1,-1,26325,60000,960000.0,795,0,576000,0
5,480,2,2400,0.1,0.95,10000.0,0.9,7,pcg_time_avg_chol_explicit_avgK,ok,0.0037500000034924597,0.0006175830203574151,0.0020747079979628325,0.006442291021812707,24,0,4.459039763192286e-09,32238,-1,-1,-1,26325,60000,960000.0,795,0,576000,0
5,480,2,2400,0.1,0.95,10000.0,0.9,7,pcg_banded_time_avg_precision_chol,ok,0.0034587080008350313,0.00028904201462864876,0.0034290420007891953,0.007176792016252875,24,0,4.459025452498187e-09,-1,20,403200,403200,26325,60000,960000.0,795,0,576000,0
5,480,2,2400,0.3,0.95,10000.0,0.9,0,direct_cholmod,ok,0.0038058340142015368,0.0006377089885063469,3.2167008612304926e-05,0.004475710011320189,0,0,1.0148559588640863e-12,32238,-1,-1,-1,26325,60000,960000.0,795,0,576000,0
5,480,2,2400,0.3,0.95,10000.0,0.9,0,pcg_time_avg_chol_explicit_avgK,ok,0.00411525001982227,0.0006488749932032079,0.01232395798433572,0.017088082997361198,150,0,9.34611029650272e-09,32238,-1,-1,-1,26325,60000,960000.0,795,0,576000,0
