axis,axis_value,n,T,p,sv_sigma,sv_rho,lam,target_radius,seed,preconditioner,iters,status,hit_maxiter,relative_residual,setup_time,solve_time,matvec_time_mean,cond_proxy
T,240,5,240,2,0.3,0.95,10000.0,0.9,1,time_averaged_lu,83,0,0,8.28519135396888e-09,0.002784084004815668,0.007106792007107288,3.037499845959246e-05,nan
T,240,5,240,2,0.3,0.95,10000.0,0.9,1,time_averaged_chol,82,0,0,7.543856413331341e-09,0.002428167004836723,0.0041987079894170165,3.037499845959246e-05,nan
T,240,5,240,2,0.3,0.95,10000.0,0.9,1,direct_splu,0,0,0,1.1160579516535876e-12,0.0007790829986333847,4.5374996261671185e-05,3.037499845959246e-05,nan
T,240,5,240,2,0.3,0.95,10000.0,0.9,1,direct_cholmod,0,0,0,1.7988932611270721e-12,0.00036983401514589787,1.5083991456776857e-05,3.037499845959246e-05,nan
T,240,5,240,2,0.3,0.95,10000.0,0.9,7,none,1375,0,0,8.147889190715143e-09,2.499727997928858e-07,0.04929945801268332,3.48330067936331e-05,nan
T,240,5,240,2,0.3,0.95,10000.0,0.9,7,jacobi,1945,0,0,8.95084911789028e-09,2.7207977836951613e-05,0.07094141602283344,3.48330067936331e-05,nan
T,240,5,240,2,0.3,0.95,10000.0,0.9,7,block_jacobi,1916,0,0,9.410115868632595e-09,0.005341292009688914,0.0951683749735821,3.48330067936331e-05,nan
T,240,5,240,2,0.3,0.95,10000.0,0.9,7,time_averaged_lu,89,0,0,7.098384962614513e-09,0.0027516659756656736,0.007574792020022869,3.48330067936331e-05,nan
T,240,5,240,2,0.3,0.95,10000.0,0.9,7,time_averaged_chol,88,0,0,8.640033014734984e-09,0.0023339159961324185,0.004439583019120619,3.48330067936331e-05,nan
T,240,5,240,2,0.3,0.95,10000.0,0.9,7,direct_splu,0,0,0,1.6438493312488452e-12,0.0008112500072456896,4.6666013076901436e-05,3.48330067936331e-05,nan
T,240,5,240,2,0.3,0.95,10000.0,0.9,7,direct_cholmod,0,0,0,1.393382638027686e-12,0.00034283302375115454,1.4749995898455381e-05,3.48330067936331e-05,nan
T,480,5,480,2,0.3,0.95,10000.0,0.9,0,none,3187,0,0,9.564237089832547e-09,2.9199873097240925e-07,0.15925079199951142,4.3042004108428955e-05,nan
T,480,5,480,2,0.3,0.95,10000.0,0.9,0,jacobi,2128,0,0,8.43175599558946e-09,5.908298771828413e-05,0.10654941599932499,4.3042004108428955e-05,nan
T,480,5,480,2,0.3,0.95,10000.0,0.9,0,block_jacobi,2035,0,0,9.261526146013419e-09,0.010113625001395121,0.1456298749835696,4.3042004108428955e-05,nan
T,480,5,480,2,0.3,0.95,10000.0,0.9,0,time_averaged_lu,151,0,0,7.326318795350968e-09,0.005141749978065491,0.021705833001760766,4.3042004108428955e-05,nan
T,480,5,480,2,0.3,0.95,10000.0,0.9,0,time_averaged_chol,150,0,0,9.34611029650272e-09,0.004403041006298736,0.011640541983069852,4.3042004108428955e-05,nan
T,480,5,480,2,0.3,0.95,10000.0,0.9,0,direct_splu,0,0,0,8.485091179289236e-13,0.0015682090015616268,8.929200703278184e-05,4.3042004108428955e-05,nan
T,480,5,480,2,0.3,0.95,10000.0,0.9,0,direct_cholmod,0,0,0,1.0148559588640863e-12,0.0006821250135544688,2.9999995604157448e-05,4.3042004108428955e-05,nan
T,480,5,480,2,0.3,0.95,10000.0,0.9,1,none,2573,0,0,8.317015725993338e-09,3.3300602808594704e-07,0.1338949580094777,4.883299698121846e-05,nan
T,480,5,480,2,0.3,0.95,10000.0,0.9,1,jacobi,2609,0,0,9.377345788738357e-09,0.00013050000416114926,0.13827908301027492,4.883299698121846e-05,nan
T,480,5,480,2,0.3,0.95,10000.0,0.9,1,block_jacobi,2596,0,0,9.18760374687606e-09,0.010417000012239441,0.18487337499391288,4.883299698121846e-05,nan
T,480,5,480,2,0.3,0.95,10000.0,0.9,1,time_averaged_lu,116,0,0,7.964553430658434e-09,0.0052805839804932475,0.01688670800649561,4.883299698121846e-05,nan
T,480,5,480,2,0.3,0.95,10000.0,0.9,1,time_averaged_chol,116,0,0,7.692300409613758e-09,0.004358583013527095,0.008847707998938859,4.883299698121846e-05,nan
T,480,5,480,2,0.3,0.95,10000.0,0.9,1,direct_splu,0,0,0,1.7729637275713841e-12,0.0015007079928182065,9.758298983797431e-05,4.883299698121846e-05,nan
T,480,5,480,2,0.3,0.95,10000.0,0.9,1,direct_cholmod,0,0,0,2.2674379510735677e-12,0.0006730419991072267,2.845900598913431e-05,4.883299698121846e-05,nan
T,480,5,480,2,0.3,0.95,10000.0,0.9,7,none,1724,0,0,9.577678933268433e-09,2.92027834802866e-07,0.08807941700797528,4.458398325368762e-05,nan
T,480,5,480,2,0.3,0.95,10000.0,0.9,7,jacobi,2414,0,0,9.463054218667879e-09,4.99580055475235e-05,0.12327416698099114,4.458398325368762e-05,nan
T,480,5,480,2,0.3,0.95,10000.0,0.9,7,block_jacobi,2414,0,0,7.149109107213198e-09,0.010078500024974346,0.17310100002214313,4.458398325368762e-05,nan
T,480,5,480,2,0.3,0.95,10000.0,0.9,7,time_averaged_lu,138,0,0,8.551437840389185e-09,0.005185207992326468,0.019512166996719316,4.458398325368762e-05,nan
T,480,5,480,2,0.3,0.95,10000.0,0.9,7,time_averaged_chol,136,0,0,9.76225087545071e-09,0.004658874997403473,0.010183416015934199,4.458398325368762e-05,nan
T,480,5,480,2,0.3,0.95,10000.0,0.9,7,direct_splu,0,0,0,1.446818554653124e-12,0.0016772079980000854,9.166699601337314e-05,4.458398325368762e-05,nan
T,480,5,480,2,0.3,0.95,10000.0,0.9,7,direct_cholmod,0,0,0,1.5913211086265775e-12,0.0007409999961964786,2.5958986952900887e-05,4.458398325368762e-05,nan
T,960,5,960,2,0.3,0.95,10000.0,0.9,0,none,3728,0,0,9.75486779686939e-09,3.7500285543501377e-07,0.345463290985208,7.645899313502014e-05,nan
T,960,5,960,2,0.3,0.95,10000.0,0.9,0,jacobi,2422,0,0,9.589916421949605e-09,0.0002233749837614596,0.21396987501066178,7.645899313502014e-05,nan
T,960,5,960,2,0.3,0.95,10000.0,0.9,0,block_jacobi,2388,0,0,9.809760791847367e-09,0.02009337500203401,0.281016416993225,7.645899313502014e-05,nan
T,960,5,960,2,0.3,0.95,10000.0,0.9,0,time_averaged_lu,176,0,0,8.783951306488316e-09,0.010162165999645367,0.046874291001586244,7.645899313502014e-05,nan
T,960,5,960,2,0.3,0.95,10000.0,0.9,0,time_averaged_chol,173,0,0,9.635047857865172e-09,0.008782000018982217,0.02303149999352172,7.645899313502014e-05,nan
T,960,5,960,2,0.3,0.95,10000.0,0.9,0,direct_splu,0,0,0,9.26360398876626e-13,0.003248541004722938,0.00018770800670608878,7.645899313502014e-05,nan
T,960,5,960,2,0.3,0.95,10000.0,0.9,0,direct_cholmod,0,0,0,1.317536964002639e-12,0.0014307090023066849,5.0583999836817384e-05,7.645899313502014e-05,nan
